User Id,Start date,End date,Duration,Q01_q1->1. M’agrada quedar amb altra gent,Q01_q1->2. Comparteixo les meves coses amb els altres,Q01_q1->3. No sóc deixat (o deixada) i poso atenció quan faig la meva feina,Q01_q1->4. Em poso nerviós (o nerviosa) per coses amb poca importància,Q01_q1->5. Sé moltes coses,Q02_q2->6. Estic de mal humor,Q02_q2->7. Treballo molt i m'agrada treballar,Q02_q2->8. Discuteixo amb els altres amb entusiasme,Q02_q2->9. M’agrada competir amb els altres,Q02_q2->10. Tinc molta imaginació,Q03_q3->11. Em comporto correctament i honestament amb els altres,Q03_q3->12. Aprenc ràpidament el que estudio a l’escola,Q03_q3->13. Sé quan els altres necessiten la meva ajuda,Q03_q3->14. M’agrada moure’m i fer molta activitat,Q03_q3->15. M’enfado fàcilment,Q04_q4->16. M’agrada donar regals,Q04_q4->17. Em barallo amb els altres,"Q04_q4->18. Quan el professor o professora pregunta a classe, jo sóc capaç de respondre correctament",Q04_q4->19. M’agrada estar amb altra gent,Q04_q4->20. M’involucro amb les coses que faig,"Q05_q5->21. Si algú comet una injustícia contra mi, jo el / la perdono","Q05_q5->22. Durant el temps de classe, estic concentrat (o concentrada) amb les coses que faig",Q05_q5->23. Puc dir fàcilment als altres el que penso,Q05_q5->24. M’agrada llegir llibres,"Q05_q5->25. Quan acabo els deures, els repasso moltes vegades per a veure si els he fet correctament",Q06_q6->26. Dic el que penso,Q06_q6->27. Tracto als meus companys amb afecte,Q06_q6->28. Respecto les normes i l’ordre,Q06_q6->29. M’ofenc fàcilment,"Q06_q6->30. Quan el professor o la professora expliquen alguna cosa, jo ho entenc immediatament",Q07_q7->31. Estic trist (o trista),Q07_q7->32. Em comporto amb els altres amb molta generositat,Q07_q7->33. M’agraden els programes de televisió científics,"Q07_q7->34. Si em comprometo a una cosa, la compleixo",Q07_q7->35. Faig coses per no avorrir-me,Q08_q8->36. M’agrada veure les notícies per la televisió i saber què passa al món,Q08_q8->37. La meva habitació està en ordre,Q08_q8->38. Sóc educat (o educada) quan parlo amb altres persones,"Q08_q8->39. Si vull fer alguna cosa, no sóc capaç d’esperar-me i l’haig de fer immediatament",Q08_q8->40. M’agrada parlar amb altra gent,Q09_q9->41. Sóc impacient,Q09_q9->42. Sóc capaç de convèncer algú sobre el que penso,Q09_q9->43. Sóc capaç de crear nous jocs i entreteniments,"Q09_q9->44. Quan començo alguna cosa, sempre l’haig d’acabar","Q09_q9->45. Si un company o companya de classe té alguna dificultat, l’ajudo",Q10_q10->46. Puc solucionar els problemes de  matemàtiques,Q10_q10->47. Confio en la gent,Q10_q10->48. M’agrada tenir les coses de l’escola ordenades,Q10_q10->49. Perdo la calma amb facilitat,"Q10_q10->50. Quan parlo, els altres m’escolten i fan el que els dic",Q11_q11->51. Tracto de manera amable també la gent que no m’agrada,Q11_q11->52. M’agrada saber i aprendre noves coses,Q11_q11->53. Jugo només quan he acabat els deures,Q11_q11->54. Faig les coses amb nerviosisme,Q11_q11->55. M’agrada fer bromes,Q12_q12->56. És poc probable que desviï la meva atenció,Q12_q12->57. Faig amics ràpidament,Q12_q12->58. Jo ploro,Q12_q12->59. M’agradaria molt viatjar i conèixer els costums d’altres països,Q12_q12->60. Crec que la gent és bona i honesta,Q13_q13->61. Em preocupo per coses que no tenen importància,Q13_q13->62. Entenc les coses immediatament,Q13_q13->63. Sóc feliç i alegre,Q13_q13->64. Deixo als altres utilitzar les meves coses,Q13_q13->65. Faig els meus deures i obligacions
344,11:25:46 19/12/2016,11:29:56 19/12/2016,250,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
450,08:42:02 20/12/2016,08:47:19 20/12/2016,317,3,4,5,4,4,2,5,3,3,5,4,5,4,4,2,3,2,4,4,5,4,4,4,5,3,4,4,4,3,5,2,4,4,4,4,2,3,5,4,4,3,3,2,3,4,4,4,4,4,4,5,5,4,4,2,4,3,1,5,4,5,5,4,3,5
376,08:41:15 20/12/2016,08:48:20 20/12/2016,425,2,3,3,2,1,1,2,1,2,4,3,2,2,2,1,3,1,1,2,1,2,2,1,1,1,1,3,3,2,1,2,3,1,2,2,1,3,2,2,2,2,2,1,2,2,1,2,3,1,2,1,3,2,1,2,2,2,2,2,2,2,1,2,2,3
393,08:41:15 20/12/2016,08:51:14 20/12/2016,599,5,5,3,3,2,1,2,2,4,5,5,2,3,5,1,3,1,2,5,3,3,3,3,2,2,2,3,5,1,2,1,3,2,4,5,3,1,4,2,5,3,3,3,2,5,2,4,3,3,4,3,3,2,1,1,2,3,2,5,2,2,2,4,3,2
387,08:42:26 20/12/2016,08:50:22 20/12/2016,476,5,4,4,2,3,1,3,1,2,3,4,4,3,5,1,2,1,4,5,4,4,2,2,3,2,2,5,5,2,4,1,4,3,4,2,2,4,5,4,5,3,4,4,3,4,4,5,4,1,3,4,3,2,1,2,2,4,2,3,3,3,4,4,4,4
396,08:42:13 20/12/2016,08:51:38 20/12/2016,565,3,2,3,2,3,2,1,3,4,2,4,1,2,4,2,3,2,2,4,2,3,3,2,1,1,2,3,4,1,2,2,3,2,3,4,5,1,4,2,4,2,2,2,3,4,4,2,3,2,1,4,2,1,2,3,2,3,1,5,3,2,3,4,2,4
373,08:42:05 20/12/2016,08:50:29 20/12/2016,504,4,3,3,2,4,2,4,3,4,4,3,5,4,4,3,2,1,4,4,5,2,3,2,2,2,3,4,4,5,4,2,3,2,4,5,2,2,4,3,5,3,2,4,3,4,5,3,3,3,2,4,3,2,2,5,2,3,4,3,2,3,5,3,2,3
447,08:42:29 20/12/2016,08:49:10 20/12/2016,401,3,4,1,2,2,2,2,2,4,1,4,2,3,5,2,3,2,2,4,3,2,2,2,1,1,2,3,4,1,2,1,4,2,3,1,1,5,4,4,4,3,2,2,3,4,3,3,4,2,4,2,3,3,3,5,3,3,2,4,3,4,2,3,3,4
397,08:42:37 20/12/2016,08:51:08 20/12/2016,511,3,4,5,2,4,2,5,2,2,5,4,4,4,4,2,4,1,3,3,4,4,4,3,3,2,2,5,5,2,3,2,4,5,3,4,3,3,3,4,3,2,3,2,4,4,4,3,5,2,2,4,5,4,2,2,3,2,1,4,2,3,3,4,4,4
391,08:42:31 20/12/2016,08:50:43 20/12/2016,492,5,4,4,2,5,1,2,3,2,3,4,3,4,5,1,4,1,2,4,4,3,2,4,1,1,4,5,5,1,3,1,4,2,4,3,4,4,5,2,4,2,4,2,4,2,2,4,3,1,4,5,4,2,2,5,4,5,1,5,5,2,2,5,5,4
404,08:41:59 20/12/2016,08:51:14 20/12/2016,555,3,2,4,2,2,3,1,2,4,2,3,4,2,5,4,1,3,2,5,4,3,1,5,1,1,3,4,3,2,1,1,2,2,4,5,4,4,3,4,5,5,3,4,3,2,2,3,3,2,2,3,3,4,4,5,1,4,2,5,4,2,1,3,1,5
401,08:41:50 20/12/2016,08:50:36 20/12/2016,526,4,4,3,2,4,2,2,3,4,4,4,3,4,4,4,4,2,2,5,5,3,3,4,2,1,3,5,4,3,3,2,4,2,5,4,3,3,4,2,5,4,3,2,4,3,3,3,2,3,3,3,3,2,2,3,2,4,1,4,2,2,3,4,3,3
402,08:42:35 20/12/2016,08:52:29 20/12/2016,594,3,2,3,3,2,2,2,2,3,2,3,2,4,5,3,3,2,2,3,4,2,2,2,3,1,1,4,4,3,2,3,3,1,2,5,2,1,4,1,3,4,4,2,2,3,2,3,3,4,2,2,3,2,3,3,4,4,3,5,2,3,2,2,3,2
399,08:42:44 20/12/2016,08:50:07 20/12/2016,443,2,4,3,1,3,2,3,3,2,5,4,4,3,2,1,4,1,3,2,3,5,3,4,4,1,3,4,4,1,4,2,3,3,3,2,2,4,4,4,3,2,3,4,2,4,4,3,3,1,3,4,3,2,1,5,2,3,1,5,3,2,4,3,4,4
378,08:42:59 20/12/2016,08:50:15 20/12/2016,436,4,4,3,1,3,2,3,3,1,4,3,2,3,1,1,5,1,3,4,3,2,2,3,3,1,1,3,2,1,3,1,4,4,3,5,4,1,4,2,4,1,2,2,1,3,1,3,1,1,1,3,4,2,1,4,2,4,1,5,2,1,3,3,3,5
448,08:43:53 20/12/2016,08:51:33 20/12/2016,460,2,3,4,4,2,2,1,2,3,5,2,1,4,5,4,4,2,4,4,2,5,2,4,1,1,3,4,4,2,2,2,2,1,4,4,1,3,4,5,3,5,2,2,4,2,2,3,3,2,2,4,3,4,5,5,1,3,1,3,2,2,2,3,2,3
384,08:42:33 20/12/2016,08:54:22 20/12/2016,709,4,5,4,2,3,1,4,2,2,2,4,4,3,5,2,4,1,4,4,4,4,4,4,2,1,2,5,5,1,3,1,4,4,5,4,3,3,5,1,4,1,4,2,3,4,4,4,5,1,2,5,4,4,2,2,4,4,1,4,4,2,3,5,4,5
374,08:43:43 20/12/2016,08:51:15 20/12/2016,452,5,3,3,2,4,2,2,3,4,5,4,4,5,5,3,3,1,4,5,4,3,3,4,1,2,4,5,4,2,4,2,4,2,4,5,5,3,5,4,5,3,4,2,5,3,1,4,3,2,3,3,4,2,3,5,5,5,1,5,4,3,4,4,4,3
403,08:42:43 20/12/2016,08:57:36 20/12/2016,893,4,3,3,5,2,2,3,2,3,4,4,4,3,4,2,4,2,4,4,4,5,3,2,1,1,2,3,3,2,3,2,3,3,2,5,5,1,4,2,4,2,3,3,1,4,3,3,1,2,3,3,4,3,2,3,3,4,3,5,3,3,3,4,4,4
383,08:44:13 20/12/2016,08:50:15 20/12/2016,362,4,4,3,3,3,2,3,2,1,5,4,3,3,3,3,4,2,2,4,3,3,3,2,3,2,2,4,3,2,3,2,4,4,3,3,5,3,4,2,4,2,3,2,3,4,2,4,4,3,4,4,4,2,1,5,2,5,3,4,3,3,3,4,4,3
358,08:44:48 20/12/2016,08:51:53 20/12/2016,425,5,4,3,1,3,1,2,3,5,4,3,4,3,5,1,2,2,2,4,3,1,2,2,3,1,2,2,2,1,2,1,3,1,4,5,2,5,3,4,5,5,4,2,2,1,2,3,2,1,3,1,2,1,1,5,1,4,1,5,2,1,3,4,2,3
363,08:43:46 20/12/2016,08:52:17 20/12/2016,511,5,2,2,1,3,2,3,2,2,5,4,2,3,3,2,4,1,2,5,4,2,2,2,4,3,3,4,5,2,2,2,5,3,4,4,4,4,4,2,5,2,2,3,2,5,2,2,4,2,2,2,5,3,2,5,3,5,2,5,4,2,2,5,4,4
418,08:43:49 20/12/2016,08:50:33 20/12/2016,404,4,4,3,1,2,2,4,3,4,4,3,5,3,5,1,3,1,4,5,4,3,4,5,4,1,5,4,4,1,4,1,4,4,5,5,3,2,3,2,5,2,4,3,3,4,4,2,4,1,4,1,5,3,1,5,5,4,1,5,3,2,4,5,4,4
360,08:44:49 20/12/2016,08:53:15 20/12/2016,506,5,4,4,3,4,1,4,3,4,4,5,5,4,4,1,4,1,4,5,5,4,4,3,5,4,3,4,4,2,5,2,4,4,4,5,3,2,4,4,5,3,3,2,4,4,5,4,5,1,3,4,5,2,2,4,3,3,2,5,4,3,4,4,4,4
482,08:43:47 20/12/2016,08:50:29 20/12/2016,402,5,4,3,1,3,2,4,5,3,5,3,5,5,5,3,4,3,4,5,3,3,3,2,5,1,4,3,4,2,3,2,3,1,5,5,3,2,5,3,5,5,4,3,5,4,4,4,1,3,5,2,5,3,3,5,2,5,2,5,5,4,4,4,4,4
349,08:44:49 20/12/2016,08:55:12 20/12/2016,623,5,4,3,1,3,2,2,3,4,4,4,3,4,4,1,2,2,2,5,3,3,4,4,3,1,3,4,4,1,4,2,3,3,3,4,3,4,4,1,4,1,5,1,3,4,2,3,4,1,3,2,3,2,1,3,2,2,1,5,2,1,4,3,3,4
365,08:44:24 20/12/2016,09:00:39 20/12/2016,975,4,2,4,3,2,1,3,2,1,4,3,3,3,4,2,2,2,1,5,3,3,2,2,1,2,2,3,4,2,4,2,2,1,2,5,1,3,3,1,3,2,2,1,3,2,4,3,3,2,2,1,3,3,2,2,2,1,1,5,3,3,3,4,3,5
474,08:43:57 20/12/2016,08:55:29 20/12/2016,692,2,4,4,3,5,1,3,1,2,4,4,2,4,5,2,3,1,3,3,4,5,3,1,1,1,2,4,4,2,2,1,4,2,4,5,3,3,4,2,2,1,2,3,3,2,4,3,3,2,1,3,4,1,1,3,3,3,1,3,2,2,3,4,4,3
416,08:44:34 20/12/2016,08:52:42 20/12/2016,488,3,4,5,2,3,2,4,2,3,4,4,5,3,2,2,4,2,4,5,5,3,4,1,4,2,4,3,2,2,4,1,2,2,4,3,4,3,4,2,5,2,3,1,4,3,5,3,4,2,2,3,5,4,1,3,2,1,2,5,2,2,4,5,4,5
407,08:40:19 20/12/2016,08:53:07 20/12/2016,768,4,4,4,2,2,2,3,1,1,2,4,3,4,5,2,4,1,3,4,3,2,4,4,1,2,4,4,4,2,3,2,4,2,5,4,3,3,4,4,4,2,4,3,4,4,4,2,3,2,2,3,4,2,2,3,2,3,2,5,2,4,3,3,4,3
417,08:43:50 20/12/2016,08:53:07 20/12/2016,557,2,4,2,3,3,1,3,2,4,4,3,2,3,4,3,3,2,1,4,3,2,2,3,4,2,3,4,3,3,2,2,3,4,2,4,4,2,3,2,4,2,3,2,2,3,2,4,3,2,1,4,4,2,3,4,1,2,2,4,3,3,2,3,4,2
449,08:45:36 20/12/2016,08:54:29 20/12/2016,533,3,2,4,2,2,1,3,1,2,3,5,4,4,4,2,2,1,3,3,3,3,3,3,2,2,3,2,3,2,3,1,2,3,2,4,3,4,5,3,3,3,4,2,3,4,4,3,4,2,2,2,4,3,2,3,2,2,1,3,3,2,3,2,2,3
442,08:45:12 20/12/2016,08:52:29 20/12/2016,437,4,4,4,4,2,1,2,1,2,2,4,2,4,4,1,3,1,2,4,4,5,4,4,1,1,4,4,4,1,2,1,3,2,3,5,4,2,4,4,3,2,3,2,4,4,2,4,5,1,3,3,2,2,1,5,2,5,2,3,4,2,4,5,4,5
355,08:45:29 20/12/2016,08:53:20 20/12/2016,471,5,4,2,2,2,3,1,2,2,2,3,3,3,4,2,3,2,3,5,3,2,1,3,3,1,4,4,2,2,2,2,3,1,3,3,4,1,3,3,5,4,4,1,3,4,3,3,2,2,3,2,2,1,2,4,2,5,2,5,2,4,2,3,3,1
371,08:43:58 20/12/2016,08:55:32 20/12/2016,694,4,3,5,4,5,2,4,3,5,5,3,5,4,2,2,4,2,5,4,4,4,5,3,3,2,4,3,3,1,5,3,4,5,4,4,5,3,4,3,5,3,4,4,5,4,5,2,2,3,5,4,5,2,3,4,2,3,1,5,3,5,5,3,4,4
406,08:44:49 20/12/2016,08:54:38 20/12/2016,589,3,2,2,2,3,1,3,2,1,4,4,3,3,2,4,3,1,2,4,2,3,3,2,2,2,4,3,4,2,3,2,4,4,4,5,1,3,4,3,4,4,2,2,4,2,3,4,4,3,3,4,3,3,4,2,3,3,2,3,2,3,2,3,2,4
410,08:44:49 20/12/2016,08:53:17 20/12/2016,508,4,4,4,5,4,2,4,2,2,5,4,4,3,4,2,5,2,4,4,5,5,4,5,5,2,4,4,5,2,3,2,3,1,4,5,1,3,4,4,5,5,4,4,3,4,5,4,5,5,3,4,4,4,3,4,5,5,4,5,3,4,3,5,4,4
480,08:44:54 20/12/2016,08:56:10 20/12/2016,676,3,3,2,4,2,1,1,2,3,3,2,1,4,2,1,2,1,1,4,2,4,2,1,1,1,1,4,4,3,1,1,3,2,2,2,2,2,4,1,5,1,2,2,2,3,1,2,2,1,1,3,2,1,2,3,5,4,1,3,2,2,1,4,3,2
479,08:44:53 20/12/2016,08:55:34 20/12/2016,641,3,4,4,4,3,2,3,3,3,3,4,4,3,5,3,5,2,4,4,4,4,4,2,4,3,2,4,5,2,4,2,4,3,4,3,5,3,4,2,3,2,2,3,3,3,4,4,5,2,3,4,5,4,2,4,3,3,1,5,3,2,4,4,3,4
444,08:45:22 20/12/2016,08:54:25 20/12/2016,543,4,3,5,4,4,2,4,4,5,4,4,5,3,4,2,4,2,4,5,5,3,3,5,4,3,4,4,3,5,5,2,4,1,4,4,5,4,3,1,5,2,4,3,3,4,5,4,5,2,2,2,5,3,1,3,4,2,2,5,4,4,4,5,4,5
476,08:44:48 20/12/2016,08:54:09 20/12/2016,561,2,4,1,3,4,2,3,3,3,4,4,4,3,4,3,5,2,3,2,3,2,3,3,5,1,3,3,3,3,3,2,3,2,3,4,2,1,3,3,3,5,2,3,3,3,4,3,3,4,2,2,5,2,3,5,3,3,2,3,1,3,3,4,4,3
445,08:45:01 20/12/2016,08:54:50 20/12/2016,589,5,5,4,1,5,1,4,3,5,4,3,5,3,5,3,3,1,5,2,4,4,3,5,2,2,5,5,4,5,5,1,4,3,5,5,3,5,5,4,2,4,4,3,4,2,4,5,5,1,4,2,5,3,1,5,3,5,1,5,4,1,5,5,3,5
394,08:45:26 20/12/2016,08:55:41 20/12/2016,615,5,3,4,1,3,2,2,1,2,4,4,3,3,4,3,2,2,2,3,3,2,4,3,3,1,3,3,4,3,4,3,3,1,4,3,2,4,5,4,3,2,2,1,3,4,3,4,5,2,2,2,3,2,1,4,3,3,3,4,1,4,4,3,4,2
409,08:45:26 20/12/2016,08:55:17 20/12/2016,591,5,4,3,2,2,1,2,1,3,5,4,2,2,5,1,3,1,2,5,5,1,3,2,1,2,2,5,5,2,2,1,3,1,3,5,2,4,4,2,5,1,3,1,3,3,2,3,5,1,2,3,2,2,1,2,4,3,1,5,4,1,2,4,4,3
478,08:45:51 20/12/2016,08:52:10 20/12/2016,379,4,4,2,3,3,2,1,2,3,5,2,1,2,5,5,3,3,1,4,4,2,1,3,1,1,5,2,3,2,2,1,3,3,3,2,5,1,3,3,3,2,4,4,3,3,3,2,3,2,3,2,2,2,3,4,5,3,3,4,3,5,2,3,2,2
475,08:46:39 20/12/2016,08:52:41 20/12/2016,362,3,4,2,5,2,1,2,1,1,2,2,1,4,3,2,4,1,1,5,4,3,2,4,2,1,4,3,3,2,1,1,3,1,3,5,3,5,3,2,5,2,3,1,3,4,1,4,4,2,3,2,2,1,3,4,1,5,2,5,2,5,2,4,4,3
385,08:42:59 20/12/2016,09:14:51 20/12/2016,1912,3,5,4,2,3,1,4,2,3,3,5,5,3,4,1,5,2,4,4,3,5,5,4,5,4,4,5,5,1,4,1,5,2,4,3,4,4,5,2,4,2,3,2,3,4,4,3,4,1,3,5,4,4,1,4,4,3,1,4,4,1,4,4,4,5
481,08:46:36 20/12/2016,09:03:06 20/12/2016,990,3,4,1,4,2,2,1,1,1,3,4,2,3,4,2,3,1,1,5,3,2,2,2,1,2,1,3,4,4,2,3,4,2,2,3,2,1,5,3,5,2,2,1,2,2,3,4,5,4,2,5,4,2,4,4,2,4,2,5,3,2,2,2,4,2
456,08:47:04 20/12/2016,08:56:01 20/12/2016,537,4,2,4,5,2,1,3,4,3,3,4,3,5,5,2,5,2,2,4,4,2,4,3,1,1,3,4,4,2,3,2,4,1,4,5,2,4,4,5,4,3,2,2,4,3,4,3,3,2,2,3,4,1,2,3,3,4,4,5,2,4,2,3,3,4
381,08:48:19 20/12/2016,08:57:16 20/12/2016,537,3,1,4,3,3,2,2,1,2,3,4,2,4,2,3,2,2,2,3,3,1,2,5,2,3,5,3,2,2,2,1,3,3,5,5,5,5,5,2,3,2,4,2,5,3,2,1,5,2,3,3,3,3,2,4,3,2,1,1,1,2,2,2,1,3
443,08:50:37 20/12/2016,08:57:22 20/12/2016,405,5,4,3,2,3,2,1,3,3,3,3,1,3,3,2,4,2,4,4,4,3,2,2,2,1,3,3,3,3,1,1,3,2,4,4,1,1,3,1,4,2,3,3,3,3,2,4,4,4,4,2,3,3,3,3,2,2,2,4,2,2,3,4,3,3
389,08:52:41 20/12/2016,09:01:00 20/12/2016,499,2,1,4,1,3,2,3,1,3,2,4,2,4,5,3,5,2,3,5,4,4,4,1,1,1,4,4,5,1,4,2,4,3,5,2,5,5,5,2,5,2,2,1,3,4,3,2,5,2,3,4,3,4,2,5,3,4,3,5,2,1,4,4,4,4
483,09:01:45 20/12/2016,09:12:14 20/12/2016,629,4,4,3,3,2,2,3,1,1,2,4,2,3,4,2,3,1,3,5,2,3,2,2,1,2,3,4,4,2,2,2,3,3,4,3,3,3,4,4,4,3,2,3,2,4,3,2,4,2,2,3,3,2,3,5,3,4,2,5,3,3,2,3,3,3
